id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;
66;,;66;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
67;,;67;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
68;,;68;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
69;,;69;,';Chuva;',';Crescente;',';Simples;',';Ponte;',';Pleno dia;"');"
70;,;70;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
71;,;71;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
72;,;72;,';Céu Claro;',';Crescente;',';Múltipla;',';Não Informado;',';Pleno dia;"');"
73;,;73;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
74;,;74;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
75;,;75;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
76;,;76;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
77;,;77;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
78;,;78;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
79;,;79;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
80;,;80;,';Chuva;',';Decrescente;',';Simples;',';Desvio Temporário;',';Anoitecer;"');"
81;,;81;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
82;,;82;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
83;,;83;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
84;,;84;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
85;,;85;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
86;,;86;,';Chuva;',';Decrescente;',';Simples;',';Retorno Regulamentado;',';Pleno dia;"');"
87;,;87;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
88;,;88;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');"
89;,;89;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
90;,;90;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
91;,;91;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
92;,;92;,';Nublado;',';Não Informado;',';Dupla;',';Reta;',';Pleno dia;"');"
93;,;93;,';Nublado;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
94;,;94;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
95;,;95;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Não Informado;',';Anoitecer;"');"
96;,;96;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
97;,;97;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
98;,;98;,';Chuva;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
99;,;99;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
100;,;100;,';Nublado;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');"
101;,;101;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
102;,;102;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
103;,;103;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
104;,;104;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Amanhecer;"');"
105;,;105;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
106;,;106;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
107;,;107;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
108;,;108;,';Nublado;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
109;,;109;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
110;,;110;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
111;,;111;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
112;,;112;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Plena Noite;"');"
113;,;113;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
114;,;114;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
115;,;115;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
116;,;116;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
117;,;117;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
118;,;118;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
119;,;119;,';Céu Claro;',';Crescente;',';Dupla;',';Rotatória;',';Pleno dia;"');"
120;,;120;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
121;,;121;,';Céu Claro;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
122;,;122;,';Céu Claro;',';Decrescente;',';Simples;',';Retorno Regulamentado;',';Plena Noite;"');"
123;,;123;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
124;,;124;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
125;,;125;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
126;,;126;,';Céu Claro;',';Decrescente;',';Simples;',';Ponte;',';Pleno dia;"');"
127;,;127;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
128;,;128;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
129;,;129;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
130;,;130;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');"
131;,;131;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
132;,;132;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
133;,;133;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
134;,;134;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
135;,;135;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
136;,;136;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
137;,;137;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
138;,;138;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
139;,;139;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
140;,;140;,';Céu Claro;',';Crescente;',';Simples;',';Ponte;',';Pleno dia;"');"
141;,;141;,';Sol;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
142;,;142;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
143;,;143;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
144;,;144;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
145;,;145;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
146;,;146;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
147;,;147;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
148;,;148;,';Chuva;',';Crescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
149;,;149;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
150;,;150;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');"
151;,;151;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
152;,;152;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
153;,;153;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Anoitecer;"');"
154;,;154;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
155;,;155;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
156;,;156;,';Nublado;',';Crescente;',';Simples;',';Desvio Temporário;',';Plena Noite;"');"
157;,;157;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
158;,;158;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
159;,;159;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Amanhecer;"');"
160;,;160;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
161;,;161;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
162;,;162;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
163;,;163;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
164;,;164;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
165;,;165;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
166;,;166;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
167;,;167;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
168;,;168;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Amanhecer;"');"
169;,;169;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
170;,;170;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Amanhecer;"');"
171;,;171;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
