id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;
1170;,;1170;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1171;,;1171;,';Ignorado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1172;,;1172;,';Chuva;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1173;,;1173;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1174;,;1174;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1175;,;1175;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1176;,;1176;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1177;,;1177;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1178;,;1178;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1179;,;1179;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1180;,;1180;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1181;,;1181;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1182;,;1182;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1183;,;1183;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1184;,;1184;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1185;,;1185;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1186;,;1186;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1187;,;1187;,';Céu Claro;',';Decrescente;',';Simples;',';Túnel;',';Pleno dia;"');"
1188;,;1188;,';Céu Claro;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1189;,;1189;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1190;,;1190;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Plena Noite;"');"
1191;,;1191;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1192;,;1192;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1193;,;1193;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1194;,;1194;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1195;,;1195;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1196;,;1196;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1197;,;1197;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
1198;,;1198;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1199;,;1199;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1200;,;1200;,';Céu Claro;',';Crescente;',';Múltipla;',';Desvio Temporário;',';Pleno dia;"');"
1201;,;1201;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1202;,;1202;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1203;,;1203;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1204;,;1204;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1205;,;1205;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1206;,;1206;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1207;,;1207;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1208;,;1208;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1209;,;1209;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1210;,;1210;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1211;,;1211;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
1212;,;1212;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');"
1213;,;1213;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1214;,;1214;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1215;,;1215;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1216;,;1216;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1217;,;1217;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1218;,;1218;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1219;,;1219;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');"
1220;,;1220;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1221;,;1221;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');"
1222;,;1222;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1223;,;1223;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Plena Noite;"');"
1224;,;1224;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1225;,;1225;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1226;,;1226;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1227;,;1227;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1228;,;1228;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1229;,;1229;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1230;,;1230;,';Ignorado;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');"
1231;,;1231;,';Sol;',';Decrescente;',';Simples;',';Retorno Regulamentado;',';Pleno dia;"');"
1232;,;1232;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
1233;,;1233;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1234;,;1234;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1235;,;1235;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1236;,;1236;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1237;,;1237;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1238;,;1238;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1239;,;1239;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1240;,;1240;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1241;,;1241;,';Sol;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1242;,;1242;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');"
1243;,;1243;,';Sol;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1244;,;1244;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1245;,;1245;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');"
1246;,;1246;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1247;,;1247;,';Céu Claro;',';Crescente;',';Múltipla;',';Curva;',';Pleno dia;"');"
1248;,;1248;,';Sol;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1249;,;1249;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1250;,;1250;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1251;,;1251;,';Céu Claro;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
1252;,;1252;,';Sol;',';Crescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');"
1253;,;1253;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1254;,;1254;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1255;,;1255;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1256;,;1256;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1257;,;1257;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1258;,;1258;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1259;,;1259;,';Chuva;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1260;,;1260;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1261;,;1261;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Anoitecer;"');"
1262;,;1262;,';Céu Claro;',';Decrescente;',';Múltipla;',';Rotatória;',';Plena Noite;"');"
1263;,;1263;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1264;,;1264;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1265;,;1265;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1266;,;1266;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1267;,;1267;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Amanhecer;"');"
1268;,;1268;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1269;,;1269;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1270;,;1270;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1271;,;1271;,';Chuva;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
1272;,;1272;,';Nublado;',';Crescente;',';Simples;',';Rotatória;',';Anoitecer;"');"
1273;,;1273;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1274;,;1274;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1275;,;1275;,';Sol;',';Crescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
1276;,;1276;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1277;,;1277;,';Chuva;',';Crescente;',';Dupla;',';Retorno Regulamentado;',';Plena Noite;"');"
1278;,;1278;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1279;,;1279;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1280;,;1280;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
1281;,;1281;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1282;,;1282;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
1283;,;1283;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1284;,;1284;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1285;,;1285;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1286;,;1286;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1287;,;1287;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1288;,;1288;,';Sol;',';Decrescente;',';Simples;',';Interseção de vias;',';Anoitecer;"');"
1289;,;1289;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');"
1290;,;1290;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1291;,;1291;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1292;,;1292;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1293;,;1293;,';Chuva;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1294;,;1294;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1295;,;1295;,';Nublado;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
1296;,;1296;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1297;,;1297;,';Nublado;',';Crescente;',';Simples;',';Interseção de vias;',';Plena Noite;"');"
1298;,;1298;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
1299;,;1299;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1300;,;1300;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1301;,;1301;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
1302;,;1302;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1303;,;1303;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1304;,;1304;,';Céu Claro;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1305;,;1305;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1306;,;1306;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1307;,;1307;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1308;,;1308;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
1309;,;1309;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1310;,;1310;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1311;,;1311;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1312;,;1312;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1313;,;1313;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1314;,;1314;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1315;,;1315;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1316;,;1316;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1317;,;1317;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1318;,;1318;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1319;,;1319;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1320;,;1320;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1321;,;1321;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1322;,;1322;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1323;,;1323;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1324;,;1324;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1325;,;1325;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1326;,;1326;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1327;,;1327;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1328;,;1328;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1329;,;1329;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
1330;,;1330;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1331;,;1331;,';Céu Claro;',';Decrescente;',';Dupla;',';Interseção de vias;',';Plena Noite;"');"
1332;,;1332;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Plena Noite;"');"
1333;,;1333;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1334;,;1334;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1335;,;1335;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1336;,;1336;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1337;,;1337;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1338;,;1338;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Amanhecer;"');"
1339;,;1339;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1340;,;1340;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1341;,;1341;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1342;,;1342;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1343;,;1343;,';Chuva;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1344;,;1344;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1345;,;1345;,';Sol;',';Crescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');"
1346;,;1346;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1347;,;1347;,';Nublado;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1348;,;1348;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1349;,;1349;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1350;,;1350;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1351;,;1351;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1352;,;1352;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1353;,;1353;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1354;,;1354;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Plena Noite;"');"
1355;,;1355;,';Sol;',';Decrescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');"
1356;,;1356;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1357;,;1357;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1358;,;1358;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1359;,;1359;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1360;,;1360;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1361;,;1361;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1362;,;1362;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1363;,;1363;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1364;,;1364;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1365;,;1365;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1366;,;1366;,';Nublado;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1367;,;1367;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1368;,;1368;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1369;,;1369;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1370;,;1370;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1371;,;1371;,';Chuva;',';Crescente;',';Dupla;',';Rotatória;',';Plena Noite;"');"
1372;,;1372;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1373;,;1373;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
1374;,;1374;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1375;,;1375;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1376;,;1376;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1377;,;1377;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Ponte;',';Pleno dia;"');"
1378;,;1378;,';Chuva;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1379;,;1379;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1380;,;1380;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1381;,;1381;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1382;,;1382;,';Nublado;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1383;,;1383;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1384;,;1384;,';Chuva;',';Crescente;',';Simples;',';Rotatória;',';Anoitecer;"');"
1385;,;1385;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1386;,;1386;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1387;,;1387;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1388;,;1388;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1389;,;1389;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');"
1390;,;1390;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1391;,;1391;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1392;,;1392;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1393;,;1393;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1394;,;1394;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1395;,;1395;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1396;,;1396;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1397;,;1397;,';Garoa/Chuvisco;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
1398;,;1398;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1399;,;1399;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1400;,;1400;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1401;,;1401;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1402;,;1402;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1403;,;1403;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1404;,;1404;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1405;,;1405;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1406;,;1406;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
1407;,;1407;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Amanhecer;"');"
1408;,;1408;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1409;,;1409;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1410;,;1410;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1411;,;1411;,';Céu Claro;',';Crescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');"
1412;,;1412;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1413;,;1413;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
1414;,;1414;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Anoitecer;"');"
1415;,;1415;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1416;,;1416;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');"
1417;,;1417;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1418;,;1418;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1419;,;1419;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1420;,;1420;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1421;,;1421;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1422;,;1422;,';Sol;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
1423;,;1423;,';Sol;',';Decrescente;',';Simples;',';Ponte;',';Pleno dia;"');"
1424;,;1424;,';Céu Claro;',';Crescente;',';Múltipla;',';Interseção de vias;',';Pleno dia;"');"
1425;,;1425;,';Céu Claro;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1426;,;1426;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1427;,;1427;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
1428;,;1428;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1429;,;1429;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1430;,;1430;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1431;,;1431;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1432;,;1432;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1433;,;1433;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
1434;,;1434;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
1435;,;1435;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1436;,;1436;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1437;,;1437;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1438;,;1438;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1439;,;1439;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
1440;,;1440;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1441;,;1441;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');"
1442;,;1442;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Amanhecer;"');"
1443;,;1443;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');"
1444;,;1444;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
1445;,;1445;,';Nublado;',';Crescente;',';Múltipla;',';Interseção de vias;',';Pleno dia;"');"
1446;,;1446;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
1447;,;1447;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
1448;,;1448;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
