idTipo;;idAcidente;;atropelamento;;capotagem;;choqueObjFixo;;colisao;;colisaoLat;;naoInf;;outro;;tombamento;
77;,;77;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;0;");"
78;,;78;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
79;,;79;,;0;,;0;,;0;,;3;,;2;,;0;,;0;,;0;");"
80;,;80;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;");"
81;,;81;,;1;,;2;,;2;,;3;,;0;,;0;,;0;,;2;");"
82;,;82;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
83;,;83;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
84;,;84;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
85;,;85;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
86;,;86;,;0;,;0;,;0;,;2;,;1;,;1;,;0;,;0;");"
87;,;87;,;0;,;0;,;1;,;0;,;1;,;0;,;0;,;0;");"
88;,;88;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;0;");"
89;,;89;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
90;,;90;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
91;,;91;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
92;,;92;,;0;,;0;,;3;,;6;,;1;,;0;,;0;,;2;");"
93;,;93;,;2;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
94;,;94;,;1;,;0;,;2;,;2;,;0;,;0;,;0;,;1;");"
95;,;95;,;1;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
96;,;96;,;1;,;1;,;0;,;8;,;1;,;0;,;0;,;0;");"
97;,;97;,;0;,;0;,;1;,;2;,;1;,;0;,;0;,;0;");"
98;,;98;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
99;,;99;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
100;,;100;,;1;,;0;,;1;,;0;,;1;,;0;,;0;,;0;");"
101;,;101;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
102;,;102;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
103;,;103;,;3;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
104;,;104;,;0;,;2;,;0;,;3;,;0;,;1;,;0;,;0;");"
105;,;105;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
106;,;106;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
107;,;107;,;2;,;0;,;1;,;5;,;2;,;0;,;0;,;0;");"
108;,;108;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
109;,;109;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
110;,;110;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;");"
111;,;111;,;1;,;1;,;2;,;2;,;0;,;0;,;0;,;1;");"
112;,;112;,;0;,;1;,;0;,;0;,;0;,;1;,;1;,;0;");"
113;,;113;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
114;,;114;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
115;,;115;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
116;,;116;,;1;,;0;,;0;,;2;,;3;,;0;,;0;,;0;");"
117;,;117;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
118;,;118;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
119;,;119;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
120;,;120;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
121;,;121;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;2;");"
122;,;122;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
123;,;123;,;0;,;0;,;1;,;2;,;2;,;0;,;0;,;0;");"
124;,;124;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
125;,;125;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
126;,;126;,;13;,;1;,;2;,;20;,;5;,;0;,;0;,;0;");"
127;,;127;,;2;,;1;,;1;,;6;,;3;,;2;,;0;,;3;");"
128;,;128;,;1;,;0;,;1;,;5;,;0;,;0;,;0;,;0;");"
129;,;129;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
130;,;130;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
131;,;131;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
132;,;132;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
133;,;133;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;1;");"
134;,;134;,;0;,;0;,;0;,;1;,;0;,;0;,;1;,;0;");"
135;,;135;,;1;,;0;,;0;,;0;,;0;,;1;,;0;,;0;");"
136;,;136;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
137;,;137;,;1;,;0;,;1;,;5;,;0;,;0;,;0;,;0;");"
138;,;138;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;1;");"
139;,;139;,;1;,;1;,;4;,;4;,;3;,;0;,;0;,;0;");"
140;,;140;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
141;,;141;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;1;");"
142;,;142;,;1;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
143;,;143;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
144;,;144;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;3;");"
145;,;145;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
146;,;146;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;1;");"
147;,;147;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
148;,;148;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
149;,;149;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
150;,;150;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
151;,;151;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
152;,;152;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
153;,;153;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;");"
154;,;154;,;0;,;1;,;0;,;2;,;0;,;0;,;0;,;0;");"
155;,;155;,;3;,;0;,;3;,;4;,;2;,;0;,;0;,;1;");"
156;,;156;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
157;,;157;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
158;,;158;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;0;");"
159;,;159;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;");"
160;,;160;,;2;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
161;,;161;,;1;,;1;,;0;,;0;,;2;,;0;,;0;,;1;");"
162;,;162;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
163;,;163;,;0;,;0;,;0;,;3;,;2;,;0;,;0;,;1;");"
164;,;164;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
165;,;165;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
166;,;166;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
167;,;167;,;3;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
168;,;168;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
169;,;169;,;3;,;0;,;1;,;9;,;4;,;0;,;0;,;0;");"
170;,;170;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
171;,;171;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
172;,;172;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
