idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
70;,;70;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;0;,;0;");"
71;,;71;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
72;,;72;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
73;,;73;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
74;,;74;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;0;,;0;");"
75;,;75;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
76;,;76;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
77;,;77;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;3;,;1;");"
78;,;78;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
79;,;79;,;1;,;0;,;0;,;3;,;2;,;0;,;0;,;0;,;0;");"
80;,;80;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
81;,;81;,;0;,;0;,;0;,;5;,;0;,;0;,;0;,;4;,;1;");"
82;,;82;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
83;,;83;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
84;,;84;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
85;,;85;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
86;,;86;,;1;,;0;,;0;,;1;,;0;,;1;,;0;,;2;,;0;");"
87;,;87;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
88;,;88;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
89;,;89;,;1;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
90;,;90;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
91;,;91;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
92;,;92;,;1;,;0;,;2;,;6;,;2;,;0;,;0;,;8;,;0;");"
93;,;93;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;,;2;");"
94;,;94;,;0;,;0;,;0;,;2;,;2;,;0;,;0;,;2;,;1;");"
95;,;95;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
96;,;96;,;0;,;0;,;0;,;3;,;6;,;0;,;0;,;2;,;1;");"
97;,;97;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;1;,;0;");"
98;,;98;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
99;,;99;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
100;,;100;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");"
101;,;101;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
102;,;102;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
103;,;103;,;0;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;3;");"
104;,;104;,;0;,;0;,;0;,;4;,;1;,;1;,;0;,;1;,;0;");"
105;,;105;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;4;,;0;");"
106;,;106;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
107;,;107;,;0;,;0;,;0;,;6;,;1;,;0;,;0;,;4;,;2;");"
108;,;108;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;2;,;0;");"
109;,;109;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;2;,;1;");"
110;,;110;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;0;");"
111;,;111;,;1;,;0;,;0;,;3;,;2;,;0;,;0;,;0;,;1;");"
112;,;112;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;0;");"
113;,;113;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;2;,;0;");"
