idLocal;;idAcidente;;municipio;
162;,;162;,';Mariana Pimentel;"');"
163;,;163;,';Marques de Souza;"');"
164;,;164;,';Mata;"');"
165;,;165;,';Mato Castelhano;"');"
166;,;166;,';Maximiliano de Almeida;"');"
167;,;167;,';Miraguaí;"');"
168;,;168;,';Monte Alegre dos Campos;"');"
169;,;169;,';Montenegro;"');"
170;,;170;,';Morro Redondo;"');"
171;,;171;,';Morro Reuter;"');"
172;,;172;,';Muçum;"');"
173;,;173;,';Muitos Capões;"');"
174;,;174;,';Não-Me-Toque;"');"
175;,;175;,';Nicolau Vergueiro;"');"
176;,;176;,';Nonoai;"');"
177;,;177;,';Nova Araçá;"');"
178;,;178;,';Nova Petrópolis;"');"
179;,;179;,';Nova Prata;"');"
180;,;180;,';Nova Santa Rita;"');"
181;,;181;,';Novo Barreiro;"');"
182;,;182;,';Novo Cabrais;"');"
183;,;183;,';Novo Hamburgo;"');"
184;,;184;,';Osório;"');"
185;,;185;,';Palmares do Sul;"');"
186;,;186;,';Palmeira das Missões;"');"
187;,;187;,';Palmitinho;"');"
188;,;188;,';Panambi;"');"
189;,;189;,';Pantano Grande;"');"
190;,;190;,';Paraíso do Sul;"');"
191;,;191;,';Parobé;"');"
192;,;192;,';Passa Sete;"');"
193;,;193;,';Passo Fundo;"');"
194;,;194;,';Paverama;"');"
195;,;195;,';Pelotas;"');"
196;,;196;,';Pinhal;"');"
197;,;197;,';Pinheiro Machado;"');"
198;,;198;,';Pinto Bandeira;"');"
199;,;199;,';Piratini;"');"
200;,;200;,';Planalto;"');"
201;,;201;,';Pontão;"');"
202;,;202;,';Portão;"');"
203;,;203;,';Porto Alegre;"');"
204;,;204;,';Porto Xavier;"');"
205;,;205;,';Pouso Novo;"');"
206;,;206;,';Quaraí;"');"
207;,;207;,';Quevedos;"');"
208;,;208;,';Redentora;"');"
209;,;209;,';Restinga Seca;"');"
210;,;210;,';Rio Grande;"');"
211;,;211;,';Rio Pardo;"');"
212;,;212;,';Roca Sales;"');"
213;,;213;,';Rolante;"');"
214;,;214;,';Ronda Alta;"');"
215;,;215;,';Rondinha;"');"
216;,;216;,';Roque Gonzales;"');"
217;,;217;,';Rosário do Sul;"');"
218;,;218;,';Saldanha Marinho;"');"
219;,;219;,';Salto do Jacuí;"');"
220;,;220;,';Salvador do Sul;"');"
221;,;221;,';Sananduva;"');"
222;,;222;,';Santa Bárbara do Sul;"');"
223;,;223;,';Santa Cruz do Sul;"');"
224;,;224;,';Santa Margarida do Sul;"');"
225;,;225;,';Santa Maria;"');"
226;,;226;,';Santa Maria do Herval;"');"
227;,;227;,';Santa Rosa;"');"
228;,;228;,';Santa Vitória do Palmar;"');"
229;,;229;,';Santana do Livramento;"');"
230;,;230;,';Santiago;"');"
231;,;231;,';Santo Ângelo;"');"
232;,;232;,';Santo Antônio da Patrulha;"');"
233;,;233;,';Santo Antônio das Missões;"');"
234;,;234;,';Santo Augusto;"');"
235;,;235;,';São Borja;"');"
236;,;236;,';São Domingos do Sul;"');"
237;,;237;,';São Francisco de Assis;"');"
238;,;238;,';São Francisco de Paula;"');"
239;,;239;,';São Gabriel;"');"
240;,;240;,';São Jerônimo;"');"
241;,;241;,';São João do Polêsine;"');"
242;,;242;,';São José das Missões;"');"
243;,;243;,';São José do Herval;"');"
244;,;244;,';São José do Hortêncio;"');"
245;,;245;,';São José do Norte;"');"
246;,;246;,';São José do Ouro;"');"
247;,;247;,';São José dos Ausentes;"');"
248;,;248;,';São Leopoldo;"');"
249;,;249;,';São Lourenço do Sul;"');"
250;,;250;,';São Luiz Gonzaga;"');"
251;,;251;,';São Marcos;"');"
252;,;252;,';São Martinho;"');"
253;,;253;,';São Miguel das Missões;"');"
254;,;254;,';São Pedro da Serra;"');"
255;,;255;,';São Pedro das Missões;"');"
256;,;256;,';São Pedro do Butiá;"');"
257;,;257;,';São Pedro do Sul;"');"
258;,;258;,';São Sebastião do Caí;"');"
259;,;259;,';São Sepé;"');"
260;,;260;,';São Vendelino;"');"
261;,;261;,';São Vicente do Sul;"');"
262;,;262;,';Sapiranga;"');"
263;,;263;,';Sapucaia do Sul;"');"
264;,;264;,';Sarandi;"');"
265;,;265;,';Seberi;"');"
266;,;266;,';Sede Nova;"');"
267;,;267;,';Selbach;"');"
268;,;268;,';Serafina Corrêa;"');"
269;,;269;,';Sertão;"');"
270;,;270;,';Sertão Santana;"');"
271;,;271;,';Sete de Setembro;"');"
272;,;272;,';Silveira Martins;"');"
273;,;273;,';Sinimbu;"');"
274;,;274;,';Sobradinho;"');"
275;,;275;,';Soledade;"');"
276;,;276;,';Tabaí;"');"
277;,;277;,';Tapejara;"');"
278;,;278;,';Tapera;"');"
279;,;279;,';Tapes;"');"
280;,;280;,';Taquara;"');"
281;,;281;,';Taquari;"');"
282;,;282;,';Taquaruçu do Sul;"');"
283;,;283;,';Tenente Portela;"');"
284;,;284;,';Terra de Areia;"');"
285;,;285;,';Tio Hugo;"');"
286;,;286;,';Tiradentes do Sul;"');"
287;,;287;,';Torres;"');"
288;,;288;,';Tramandaí;"');"
289;,;289;,';Três Arroios;"');"
290;,;290;,';Três Cachoeiras;"');"
291;,;291;,';Três Coroas;"');"
292;,;292;,';Três de Maio;"');"
293;,;293;,';Três Palmeiras;"');"
294;,;294;,';Três Passos;"');"
295;,;295;,';Trindade do Sul;"');"
296;,;296;,';Triunfo;"');"
297;,;297;,';Tucunduva;"');"
298;,;298;,';Tupanciretã;"');"
299;,;299;,';Tupandi;"');"
300;,;300;,';Tuparendi;"');"
301;,;301;,';Turuçu;"');"
302;,;302;,';Uruguaiana;"');"
303;,;303;,';Vacaria;"');"
304;,;304;,';Vale do Sol;"');"
305;,;305;,';Vale Real;"');"
306;,;306;,';Vale Verde;"');"
307;,;307;,';Venâncio Aires;"');"
