id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;;;;;
62;,;62;,';Céu Claro;',';Decrescente;',';Dupla;',';Rotatória;',';Pleno dia;"');";;;;
63;,;63;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
64;,;64;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
65;,;65;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
66;,;66;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
67;,;67;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
68;,;68;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
69;,;69;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
70;,;70;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
71;,;71;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
72;,;72;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
73;,;73;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
74;,;74;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
75;,;75;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
76;,;76;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
77;,;77;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
78;,;78;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
79;,;79;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
80;,;80;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
