id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;;;;;
2968;,;2968;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
2969;,;2969;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Plena Noite;"');";;;;
2970;,;2970;,';Nublado;',';Decrescente;',';Múltipla;',';Reta;',';Amanhecer;"');";;;;
2971;,;2971;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
2972;,;2972;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
2973;,;2973;,';Nevoeiro/Neblina;',';Decrescente;',';Dupla;',';Curva;',';Amanhecer;"');";;;;
2974;,;2974;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
2975;,;2975;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
2976;,;2976;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
2977;,;2977;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
2978;,;2978;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
2979;,;2979;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
2980;,;2980;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
2981;,;2981;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
2982;,;2982;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
2983;,;2983;,';Céu Claro;',';Crescente;',';Dupla;',';Desvio Temporário;',';Pleno dia;"');";;;;
2984;,;2984;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
2985;,;2985;,';Céu Claro;',';Crescente;',';Simples;',';Desvio Temporário;',';Plena Noite;"');";;;;
2986;,;2986;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Ponte;',';Plena Noite;"');";;;;
2987;,;2987;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
2988;,;2988;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
2989;,;2989;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
2990;,;2990;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
2991;,;2991;,';Nublado;',';Decrescente;',';Dupla;',';Desvio Temporário;',';Plena Noite;"');";;;;
2992;,;2992;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
2993;,;2993;,';Nevoeiro/Neblina;',';Decrescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
2994;,;2994;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
2995;,;2995;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
2996;,;2996;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
2997;,;2997;,';Nevoeiro/Neblina;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
2998;,;2998;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
2999;,;2999;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3000;,;3000;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3001;,;3001;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
3002;,;3002;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
3003;,;3003;,';Sol;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3004;,;3004;,';Sol;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
3005;,;3005;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3006;,;3006;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3007;,;3007;,';Chuva;',';Crescente;',';Múltipla;',';Retorno Regulamentado;',';Anoitecer;"');";;;;
3008;,;3008;,';Sol;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3009;,;3009;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3010;,;3010;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3011;,;3011;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3012;,;3012;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3013;,;3013;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3014;,;3014;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3015;,;3015;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3016;,;3016;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3017;,;3017;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3018;,;3018;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3019;,;3019;,';Nevoeiro/Neblina;',';Decrescente;',';Múltipla;',';Reta;',';Amanhecer;"');";;;;
3020;,;3020;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
3021;,;3021;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
3022;,;3022;,';Chuva;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3023;,;3023;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3024;,;3024;,';Sol;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3025;,;3025;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3026;,;3026;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3027;,;3027;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3028;,;3028;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3029;,;3029;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3030;,;3030;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3031;,;3031;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3032;,;3032;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
3033;,;3033;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3034;,;3034;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3035;,;3035;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
3036;,;3036;,';Nublado;',';Decrescente;',';Dupla;',';Ponte;',';Plena Noite;"');";;;;
3037;,;3037;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
3038;,;3038;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3039;,;3039;,';Céu Claro;',';Crescente;',';Múltipla;',';Curva;',';Pleno dia;"');";;;;
3040;,;3040;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3041;,;3041;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3042;,;3042;,';Céu Claro;',';Decrescente;',';Dupla;',';Retorno Regulamentado;',';Pleno dia;"');";;;;
3043;,;3043;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3044;,;3044;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3045;,;3045;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3046;,;3046;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3047;,;3047;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3048;,;3048;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
3049;,;3049;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3050;,;3050;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3051;,;3051;,';Nublado;',';Decrescente;',';Simples;',';Viaduto;',';Plena Noite;"');";;;;
3052;,;3052;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3053;,;3053;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3054;,;3054;,';Nevoeiro/Neblina;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
3055;,;3055;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Ponte;',';Pleno dia;"');";;;;
3056;,;3056;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3057;,;3057;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3058;,;3058;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Interseção de vias;',';Plena Noite;"');";;;;
3059;,;3059;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
3060;,;3060;,';Céu Claro;',';Crescente;',';Dupla;',';Interseção de vias;',';Plena Noite;"');";;;;
3061;,;3061;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3062;,;3062;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Amanhecer;"');";;;;
3063;,;3063;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3064;,;3064;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3065;,;3065;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3066;,;3066;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3067;,;3067;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3068;,;3068;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3069;,;3069;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3070;,;3070;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
3071;,;3071;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3072;,;3072;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3073;,;3073;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3074;,;3074;,';Céu Claro;',';Decrescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');";;;;
3075;,;3075;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Interseção de vias;',';Amanhecer;"');";;;;
3076;,;3076;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3077;,;3077;,';Nevoeiro/Neblina;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3078;,;3078;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3079;,;3079;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3080;,;3080;,';Nublado;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
3081;,;3081;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3082;,;3082;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
3083;,;3083;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3084;,;3084;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3085;,;3085;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
3086;,;3086;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3087;,;3087;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3088;,;3088;,';Chuva;',';Crescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
3089;,;3089;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3090;,;3090;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3091;,;3091;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3092;,;3092;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3093;,;3093;,';Nevoeiro/Neblina;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3094;,;3094;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3095;,;3095;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3096;,;3096;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3097;,;3097;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3098;,;3098;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3099;,;3099;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3100;,;3100;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3101;,;3101;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3102;,;3102;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3103;,;3103;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3104;,;3104;,';Chuva;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3105;,;3105;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3106;,;3106;,';Nublado;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
3107;,;3107;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
3108;,;3108;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
3109;,;3109;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3110;,;3110;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3111;,;3111;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3112;,;3112;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3113;,;3113;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3114;,;3114;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3115;,;3115;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3116;,;3116;,';Nublado;',';Crescente;',';Simples;',';Interseção de vias;',';Plena Noite;"');";;;;
3117;,;3117;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3118;,;3118;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Plena Noite;"');";;;;
3119;,;3119;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3120;,;3120;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
3121;,;3121;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Interseção de vias;',';Amanhecer;"');";;;;
3122;,;3122;,';Nevoeiro/Neblina;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3123;,;3123;,';Céu Claro;',';Crescente;',';Dupla;',';Rotatória;',';Pleno dia;"');";;;;
3124;,;3124;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3125;,;3125;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3126;,;3126;,';Nublado;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
3127;,;3127;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3128;,;3128;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3129;,;3129;,';Céu Claro;',';Decrescente;',';Dupla;',';Viaduto;',';Plena Noite;"');";;;;
3130;,;3130;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3131;,;3131;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3132;,;3132;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3133;,;3133;,';Nublado;',';Decrescente;',';Dupla;',';Retorno Regulamentado;',';Plena Noite;"');";;;;
3134;,;3134;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3135;,;3135;,';Céu Claro;',';Decrescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');";;;;
3136;,;3136;,';Céu Claro;',';Decrescente;',';Múltipla;',';Não Informado;',';Pleno dia;"');";;;;
3137;,;3137;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3138;,;3138;,';Sol;',';Crescente;',';Dupla;',';Desvio Temporário;',';Pleno dia;"');";;;;
3139;,;3139;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3140;,;3140;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3141;,;3141;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3142;,;3142;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3143;,;3143;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
3144;,;3144;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');";;;;
3145;,;3145;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3146;,;3146;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3147;,;3147;,';Céu Claro;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
3148;,;3148;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');";;;;
3149;,;3149;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3150;,;3150;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');";;;;
3151;,;3151;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3152;,;3152;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Amanhecer;"');";;;;
3153;,;3153;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3154;,;3154;,';Nublado;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3155;,;3155;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3156;,;3156;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3157;,;3157;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3158;,;3158;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3159;,;3159;,';Chuva;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
3160;,;3160;,';Céu Claro;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
3161;,;3161;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3162;,;3162;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Amanhecer;"');";;;;
3163;,;3163;,';Nublado;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3164;,;3164;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3165;,;3165;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3166;,;3166;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3167;,;3167;,';Nevoeiro/Neblina;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3168;,;3168;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3169;,;3169;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3170;,;3170;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3171;,;3171;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3172;,;3172;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');";;;;
3173;,;3173;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3174;,;3174;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3175;,;3175;,';Céu Claro;',';Crescente;',';Múltipla;',';Interseção de vias;',';Plena Noite;"');";;;;
3176;,;3176;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3177;,;3177;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3178;,;3178;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3179;,;3179;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3180;,;3180;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3181;,;3181;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3182;,;3182;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');";;;;
3183;,;3183;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3184;,;3184;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3185;,;3185;,';Nublado;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;;
3186;,;3186;,';Nublado;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
3187;,;3187;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3188;,;3188;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3189;,;3189;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3190;,;3190;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3191;,;3191;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3192;,;3192;,';Nublado;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
3193;,;3193;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3194;,;3194;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3195;,;3195;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Anoitecer;"');";;;;
3196;,;3196;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
3197;,;3197;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');";;;;
3198;,;3198;,';Chuva;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3199;,;3199;,';Chuva;',';Decrescente;',';Múltipla;',';Viaduto;',';Pleno dia;"');";;;;
3200;,;3200;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3201;,;3201;,';Garoa/Chuvisco;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3202;,;3202;,';Chuva;',';Crescente;',';Múltipla;',';Interseção de vias;',';Pleno dia;"');";;;;
3203;,;3203;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
3204;,;3204;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3205;,;3205;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3206;,;3206;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3207;,;3207;,';Sol;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
3208;,;3208;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3209;,;3209;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3210;,;3210;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3211;,;3211;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Desvio Temporário;',';Plena Noite;"');";;;;
3212;,;3212;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
3213;,;3213;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3214;,;3214;,';Garoa/Chuvisco;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3215;,;3215;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Amanhecer;"');";;;;
3216;,;3216;,';Chuva;',';Crescente;',';Simples;',';Desvio Temporário;',';Amanhecer;"');";;;;
3217;,;3217;,';Céu Claro;',';Crescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
3218;,;3218;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3219;,;3219;,';Nublado;',';Crescente;',';Simples;',';Rotatória;',';Pleno dia;"');";;;;
3220;,;3220;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
3221;,;3221;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3222;,;3222;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3223;,;3223;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
3224;,;3224;,';Nublado;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
3225;,;3225;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
3226;,;3226;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
3227;,;3227;,';Chuva;',';Decrescente;',';Simples;',';Desvio Temporário;',';Amanhecer;"');";;;;
