id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
72;,;72;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
73;,;73;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;;;
74;,;74;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
75;,;75;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
76;,;76;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;;;
77;,;77;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
78;,;78;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;2;");";;;;
79;,;79;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
80;,;80;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
81;,;81;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
82;,;82;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
83;,;83;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
84;,;84;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
85;,;85;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
86;,;86;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;2;");";;;;
87;,;87;,;6;,;0;,;2;,;1;,;2;,;1;,;3;,;4;");";;;;
88;,;88;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
89;,;89;,;5;,;0;,;0;,;0;,;2;,;3;,;0;,;5;");";;;;
90;,;90;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
91;,;91;,;4;,;0;,;3;,;0;,;1;,;0;,;3;,;2;");";;;;
92;,;92;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
93;,;93;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
94;,;94;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;;;
95;,;95;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
96;,;96;,;8;,;0;,;4;,;0;,;4;,;0;,;4;,;5;");";;;;
97;,;97;,;3;,;0;,;0;,;1;,;1;,;1;,;1;,;2;");";;;;
98;,;98;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
99;,;99;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
100;,;100;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;1;");";;;;
101;,;101;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
102;,;102;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
103;,;103;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;2;");";;;;
104;,;104;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
105;,;105;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
106;,;106;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
107;,;107;,;7;,;0;,;3;,;0;,;4;,;0;,;3;,;4;");";;;;
108;,;108;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
109;,;109;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;;;
110;,;110;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
111;,;111;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
112;,;112;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
113;,;113;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
114;,;114;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
115;,;115;,;6;,;0;,;4;,;0;,;2;,;0;,;4;,;2;");";;;;
116;,;116;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
117;,;117;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
118;,;118;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
119;,;119;,;3;,;0;,;1;,;1;,;1;,;0;,;2;,;2;");";;;;
120;,;120;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
121;,;121;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
122;,;122;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
123;,;123;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
124;,;124;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
125;,;125;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
126;,;126;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
127;,;127;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
128;,;128;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
129;,;129;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
130;,;130;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
131;,;131;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
132;,;132;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
133;,;133;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
134;,;134;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
135;,;135;,;3;,;0;,;1;,;1;,;1;,;0;,;2;,;2;");";;;;
136;,;136;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
137;,;137;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
138;,;138;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
139;,;139;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
140;,;140;,;4;,;1;,;0;,;0;,;2;,;1;,;0;,;2;");";;;;
141;,;141;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
142;,;142;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
143;,;143;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
144;,;144;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;;;
145;,;145;,;4;,;0;,;0;,;0;,;2;,;2;,;0;,;2;");";;;;
146;,;146;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
147;,;147;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
148;,;148;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
149;,;149;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
150;,;150;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
151;,;151;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
152;,;152;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
153;,;153;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
154;,;154;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
155;,;155;,;5;,;0;,;0;,;3;,;2;,;0;,;3;,;2;");";;;;
156;,;156;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;;;
157;,;157;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
158;,;158;,;3;,;0;,;2;,;1;,;0;,;0;,;3;,;1;");";;;;
159;,;159;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
160;,;160;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
161;,;161;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
162;,;162;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
163;,;163;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
164;,;164;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
165;,;165;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
166;,;166;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
167;,;167;,;2;,;1;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
168;,;168;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
169;,;169;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");";;;;
170;,;170;,;4;,;0;,;0;,;1;,;2;,;1;,;1;,;3;");";;;;
171;,;171;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
172;,;172;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
173;,;173;,;4;,;0;,;1;,;1;,;1;,;1;,;2;,;3;");";;;;
174;,;174;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
175;,;175;,;6;,;0;,;3;,;0;,;1;,;2;,;3;,;3;");";;;;
176;,;176;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
177;,;177;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;4;");";;;;
178;,;178;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
179;,;179;,;7;,;0;,;2;,;0;,;4;,;1;,;2;,;6;");";;;;
180;,;180;,;4;,;1;,;3;,;0;,;0;,;0;,;3;,;2;");";;;;
181;,;181;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
182;,;182;,;3;,;0;,;0;,;0;,;2;,;1;,;0;,;2;");";;;;
183;,;183;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
184;,;184;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
185;,;185;,;4;,;1;,;1;,;0;,;2;,;0;,;1;,;3;");";;;;
186;,;186;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
187;,;187;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
188;,;188;,;7;,;3;,;0;,;0;,;4;,;0;,;0;,;3;");";;;;
189;,;189;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
190;,;190;,;3;,;0;,;0;,;1;,;2;,;0;,;1;,;3;");";;;;
191;,;191;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
192;,;192;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
193;,;193;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
194;,;194;,;3;,;0;,;0;,;1;,;1;,;1;,;1;,;2;");";;;;
195;,;195;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
196;,;196;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;;;
197;,;197;,;4;,;0;,;0;,;0;,;3;,;1;,;0;,;2;");";;;;
198;,;198;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
199;,;199;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
